Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-12,Video_Awareness_YT,16.33,1445,66,6
2026-04-16,Video_Awareness_YT,17.02,1255,42,3
2026-04-09,Video_Awareness_YT,17.28,2248,67,5
2026-04-19,Video_Awareness_YT,17.72,2553,26,1
2026-04-20,Video_Awareness_YT,17.92,1935,46,4
2026-04-05,Video_Awareness_YT,18.33,1136,17,0
2026-04-08,Video_Awareness_YT,18.65,2321,33,2
2026-04-03,Video_Awareness_YT,18.69,2624,54,2
2026-04-04,Video_Awareness_YT,18.69,1417,29,1
2026-04-18,Video_Awareness_YT,18.74,1603,59,3
2026-04-10,Video_Awareness_YT,18.8,1172,40,1
2026-04-21,Video_Awareness_YT,18.87,1384,28,2
2026-04-15,Video_Awareness_YT,19.17,2161,77,5
2026-04-17,Video_Awareness_YT,19.45,2764,127,6
2026-04-23,Video_Awareness_YT,20.13,1529,32,3
2026-04-06,Video_Awareness_YT,20.47,2925,97,7
2026-04-22,Video_Awareness_YT,20.49,1118,51,2
2026-04-11,Video_Awareness_YT,20.75,1092,46,3
2026-04-14,Video_Awareness_YT,20.8,1133,52,1
2026-04-07,Video_Awareness_YT,21.4,1826,62,5
2026-04-13,Video_Awareness_YT,21.6,2414,94,6
2026-04-08,Local_Store_Visits_BE,36.35,3457,155,10
2026-04-22,Local_Store_Visits_BE,36.95,3783,40,3
2026-04-18,Local_Store_Visits_BE,38.43,2786,64,3
2026-04-13,Local_Store_Visits_BE,38.52,3426,42,3
2026-04-03,Local_Store_Visits_BE,38.57,4105,105,6
2026-04-16,Local_Store_Visits_BE,39.36,2494,81,6
2026-04-15,Local_Store_Visits_BE,39.88,2015,69,3
2026-04-20,Local_Store_Visits_BE,40.09,4442,209,14
2026-04-04,Local_Store_Visits_BE,40.28,3986,140,5
2026-04-05,Local_Store_Visits_BE,43.25,4680,81,5
2026-04-23,Local_Store_Visits_BE,43.7,2421,37,3
2026-04-19,Local_Store_Visits_BE,44.75,6224,246,16
2026-04-21,Local_Store_Visits_BE,44.97,4700,171,16
2026-04-09,Local_Store_Visits_BE,44.99,5317,262,18
2026-04-12,Local_Store_Visits_BE,45.4,4344,126,2
2026-04-11,Local_Store_Visits_BE,46.13,5767,280,14
2026-04-06,Local_Store_Visits_BE,46.33,4061,81,6
2026-04-14,Local_Store_Visits_BE,47.62,5782,178,14
2026-04-04,Search_Dynamic_Ads,48.27,5400,243,24
2026-04-17,Local_Store_Visits_BE,48.48,2685,90,8
2026-04-07,Local_Store_Visits_BE,48.48,6624,198,17
2026-04-13,Search_Dynamic_Ads,49.08,3780,100,6
2026-04-10,Local_Store_Visits_BE,49.18,3250,44,1
2026-04-23,Search_Dynamic_Ads,49.44,4370,181,4
2026-04-07,Search_Dynamic_Ads,49.47,3425,37,2
2026-04-15,Search_Dynamic_Ads,52.22,4842,153,8
2026-04-06,Search_Dynamic_Ads,53.15,4182,177,13
2026-04-10,Search_Dynamic_Ads,55.03,4463,59,4
2026-04-09,Search_Dynamic_Ads,56.85,8051,131,11
2026-04-11,Search_Dynamic_Ads,57.94,7741,157,14
2026-04-12,Search_Dynamic_Ads,59.18,3013,77,3
2026-04-18,Search_Dynamic_Ads,59.41,8285,395,31
2026-04-21,Search_Dynamic_Ads,59.99,6043,290,15
2026-04-16,Search_Dynamic_Ads,60.43,3396,137,3
2026-04-05,Search_Dynamic_Ads,61.53,8066,225,14
2026-04-20,Search_Dynamic_Ads,61.67,7229,242,13
2026-04-17,Search_Dynamic_Ads,62.43,8646,255,9
2026-04-19,Search_Dynamic_Ads,62.46,7318,192,4
2026-04-22,Search_Dynamic_Ads,64.07,8287,369,35
2026-04-03,Search_Dynamic_Ads,64.72,4685,97,8
2026-04-08,Search_Dynamic_Ads,65.65,5065,196,5
2026-04-14,Search_Dynamic_Ads,65.84,3507,148,10
2026-04-17,Remarketing_Standard,66.57,3671,56,2
2026-04-19,Remarketing_Standard,66.87,5323,199,6
2026-04-07,Remarketing_Standard,68.35,4892,134,13
2026-04-09,Remarketing_Standard,68.39,9400,341,10
2026-04-08,Remarketing_Standard,69.64,4926,185,17
2026-04-05,Remarketing_Standard,72.13,7060,220,21
2026-04-14,Remarketing_Standard,74.42,6568,182,13
2026-04-12,Remarketing_Standard,75.88,9141,274,26
2026-04-23,Remarketing_Standard,75.9,6153,210,4
2026-04-16,Remarketing_Standard,76.48,7841,170,4
2026-04-11,Remarketing_Standard,76.8,6205,89,3
2026-04-15,Remarketing_Standard,78.73,9932,137,8
2026-04-18,Remarketing_Standard,79.39,6453,225,11
2026-04-04,Remarketing_Standard,82.41,7296,125,7
2026-04-06,Remarketing_Standard,82.67,10103,299,26
2026-04-13,Remarketing_Standard,83.35,11959,121,5
2026-04-22,Remarketing_Standard,83.59,12089,282,7
2026-04-10,Remarketing_Standard,83.76,10532,194,11
2026-04-03,Remarketing_Standard,84.46,7306,217,6
2026-04-20,Remarketing_Standard,85.97,12014,263,6
2026-04-21,Remarketing_Standard,86.91,4416,126,8
2026-04-08,Shopping_Smart_Feed,121.6,12806,471,44
2026-04-09,Shopping_Smart_Feed,124.99,9385,164,11
2026-04-12,Shopping_Smart_Feed,127.52,7339,303,27
2026-04-20,Shopping_Smart_Feed,129.13,13447,331,26
2026-04-18,Shopping_Smart_Feed,130.45,11595,278,27
2026-04-06,Shopping_Smart_Feed,131.44,15061,225,12
2026-04-21,Shopping_Smart_Feed,134.45,13471,614,25
2026-04-04,Shopping_Smart_Feed,137.04,18610,624,36
2026-04-19,Shopping_Smart_Feed,138.19,19623,890,32
2026-04-14,Shopping_Smart_Feed,140.49,12636,457,16
2026-04-05,Shopping_Smart_Feed,140.91,15539,237,19
2026-04-15,Shopping_Smart_Feed,143.51,15723,569,37
2026-04-03,Shopping_Smart_Feed,144.03,11034,317,23
2026-04-10,Shopping_Smart_Feed,146.1,13841,406,24
2026-04-11,Shopping_Smart_Feed,146.44,8263,315,17
2026-04-17,Shopping_Smart_Feed,146.79,18221,730,23
2026-04-07,Shopping_Smart_Feed,151.95,14652,710,52
2026-04-13,Shopping_Smart_Feed,152.46,16143,208,8
2026-04-23,Shopping_Smart_Feed,158.04,17903,393,36
2026-04-22,Shopping_Smart_Feed,160.65,8326,352,24
2026-04-16,Shopping_Smart_Feed,163.61,22052,383,27
