Date,Campaign name,Cost,Impressions,Clicks,Conversions
2026-04-16,Retargeting_Display_Global,12.38,1854,82,4
2026-04-07,Retargeting_Display_Global,12.58,680,19,1
2026-04-05,Retargeting_Display_Global,12.93,1480,66,1
2026-04-21,Retargeting_Display_Global,13.01,1162,17,1
2026-04-15,Retargeting_Display_Global,13.08,1813,46,2
2026-04-12,Retargeting_Display_Global,13.17,1281,48,1
2026-04-23,Retargeting_Display_Global,13.51,1696,84,5
2026-04-14,Retargeting_Display_Global,13.68,1494,70,6
2026-04-06,Retargeting_Display_Global,13.75,1057,39,0
2026-04-17,Retargeting_Display_Global,13.75,1390,48,1
2026-04-04,Retargeting_Display_Global,13.82,1252,61,1
2026-04-10,Retargeting_Display_Global,13.95,998,19,0
2026-04-20,Retargeting_Display_Global,14.08,1041,43,4
2026-04-09,Retargeting_Display_Global,14.48,964,25,0
2026-04-08,Retargeting_Display_Global,14.87,1062,12,0
2026-04-22,Retargeting_Display_Global,14.92,1214,16,1
2026-04-18,Retargeting_Display_Global,15.06,1423,56,3
2026-04-03,Retargeting_Display_Global,15.85,1729,43,2
2026-04-19,Retargeting_Display_Global,15.88,2367,100,9
2026-04-11,Retargeting_Display_Global,16.37,1168,48,4
2026-04-13,Retargeting_Display_Global,16.47,2064,97,5
2026-04-22,Generic_Search_Brussels_NL,28.14,2677,92,2
2026-04-07,Generic_Search_Brussels_NL,28.86,3284,88,4
2026-04-06,Generic_Search_Brussels_NL,29.08,4322,91,8
2026-04-23,Generic_Search_Brussels_NL,31.73,3956,44,2
2026-04-11,Generic_Search_Brussels_NL,32.16,3477,135,13
2026-04-15,Competitor_Conquesting_FR,33.3,3323,41,2
2026-04-14,Competitor_Conquesting_FR,33.35,4154,135,3
2026-04-17,Generic_Search_Brussels_NL,33.78,2364,117,8
2026-04-18,Generic_Search_Brussels_NL,33.97,4310,82,4
2026-04-10,Generic_Search_Brussels_NL,34.1,2060,29,2
2026-04-20,Generic_Search_Brussels_NL,34.14,3752,50,3
2026-04-12,Generic_Search_Brussels_NL,34.85,4096,79,7
2026-04-10,Competitor_Conquesting_FR,35.23,2350,25,1
2026-04-04,Competitor_Conquesting_FR,35.37,4460,189,13
2026-04-14,Generic_Search_Brussels_NL,35.62,3100,121,9
2026-04-08,Generic_Search_Brussels_NL,35.91,4027,75,6
2026-04-15,Generic_Search_Brussels_NL,35.93,4413,63,2
2026-04-03,Generic_Search_Brussels_NL,36.42,4102,133,12
2026-04-16,Generic_Search_Brussels_NL,36.6,2257,76,6
2026-04-04,Generic_Search_Brussels_NL,36.86,3878,84,8
2026-04-09,Generic_Search_Brussels_NL,37.25,3782,106,3
